operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
Icon Parking,parking,-1.0,06:00-22:00,Point,60 Riverside Blvd,"[-73.9905028, 40.7742239]",143,underground,N/A,N/A,"[-73.9905028, 40.7742239]","[-1.2913778890660834, 0.7116444570003632]"
MTP Parking,parking,-1.0,N/A,Point,Unnamed,"[-73.992063, 40.7710064]",50,underground,N/A,N/A,"[-73.992063, 40.7710064]","[-1.2914051196930731, 0.7115883010316801]"
MTP Parking,parking,-1.0,N/A,Point,Unnamed,"[-73.9925242, 40.7715046]",50,underground,N/A,N/A,"[-73.9925242, 40.7715046]","[-1.2914131691515833, 0.7115969962620137]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9514557, 40.7733158]",262,underground,N/A,N/A,"[-73.9514557, 40.7733158]","[-1.2906963886077278, 0.7116286076654258]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9525796, 40.7733893]",263,underground,N/A,N/A,"[-73.9525796, 40.7733893]","[-1.2907160043631913, 0.711629890482426]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-74.0038958, 40.7160997]",231,underground,N/A,N/A,"[-74.0038958, 40.7160997]","[-1.291611641012803, 0.7106299983352755]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9922535, 40.7556274]",48,N/A,N/A,N/A,"[-73.9922535, 40.7556274]","[-1.2914084445452982, 0.7113198868460161]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9925018, 40.7557231]",48,underground,N/A,N/A,"[-73.9925018, 40.7557231]","[-1.2914127781978308, 0.7113215571261101]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9646743, 40.7649767]",237,underground,N/A,N/A,"[-73.9646743, 40.7649767]","[-1.290927096700232, 0.7114830629137727]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-74.0060041, 40.7386635]",158,underground,N/A,N/A,"[-74.0060041, 40.7386635]","[-1.2916484377894228, 0.7110238109370369]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9633857, 40.8112649]",166,multi-storey,N/A,N/A,"[-73.9633857, 40.8112649]","[-1.290904606387491, 0.7122909444085943]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9991339, 40.7482028], [-73.9986977, 40.7487844], [-73.9981979, 40.7485692], [-73.9975327, 40.7482829], [-73.9977262, 40.7480249], [-73.997969, 40.7477013], [-73.9991339, 40.7482028]]",68,N/A,N/A,N/A,"[-73.9983333, 40.74824285]","[-1.2915145570731608, 0.7111910021347378]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9310454, 40.8655235], [-73.9309716, 40.8655367], [-73.9309019, 40.8654769], [-73.9308536, 40.8654242], [-73.9308281, 40.8653461], [-73.9307959, 40.865272], [-73.9307852, 40.8652244], [-73.930804, 40.865196], [-73.9308241, 40.8651696], [-73.930871, 40.8651463], [-73.9309035, 40.8652898], [-73.9308885, 40.8652994], [-73.9309126, 40.8653085], [-73.9309354, 40.8653663], [-73.9309703, 40.8654171], [-73.9310145, 40.865482], [-73.9310454, 40.8655235]]",243,N/A,N/A,N/A,"[-73.93091530000001, 40.8653415]","[-1.2903378909980514, 0.7132347591268783]"
